Park,Year,Attendance,
DisneyLand_HongKong,2023,6400000,
DisneyLand_HongKong,2022,3400000 ,
DisneyLand_HongKong,2021,2800000 ,
DisneyLand_HongKong,2020,1700000,
DisneyLand_HongKong,2019,5695000,
DisneyLand_HongKong,2018,6700000,
DisneyLand_HongKong,2017,6200000,
DisneyLand_HongKong,2016,6100000,
DisneyLand_HongKong,2015,6800000 ,
DisneyLand_HongKong,2014,7500000 ,
DisneyLand_HongKong,2013,7400000 ,
DisneyLand_HongKong,2012,6700000 ,
DisneyLand_HongKong,2011,5900000 ,
DisneyLand_HongKong,2010,5200000,
DisneyLand_HongKong,2009,4600000 ,
DisneyLand_HongKong,2008,4500000,
DisneyLand_HongKong,2007,4150000,
DisneyLand_HongKong,2006,5200000,
DisneyLand_Park Paris,2023,10400000 ,
DisneyLand Park Paris,2022,9930000 ,
DisneyLand Park Paris,2021,3500000,
DisneyLand Park Paris,2020,2620000,
DisneyLand Park Paris,2019,9745000 ,
DisneyLand Park Paris,2018,9843000 ,
DisneyLand Park Paris,2017,9660000,
DisneyLand Park Paris,2016,8400000 ,
DisneyLand Park Paris,2015,9790000 ,
DisneyLand Park Paris,2014,9940000 ,
DisneyLand Park Paris,2013,10430000 ,
DisneyLand Park Paris,2012,11200000 ,
DisneyLand Park Paris,2011,10990000,
DisneyLand Park Paris,2010,10500000 ,
DisneyLand Park Paris,2009,12740000,
DisneyLand Park Paris,2008,12688000 ,
DisneyLand Park Paris,2007,12000000 ,
DisneyLand Park Paris,2006,10600000,
Walt Disney Studios Paris,2023,5700000 ,
Walt Disney Studios Paris,2022,5340000 ,
Walt Disney Studios Paris,2021,1884000,
Walt Disney Studios Paris,2020,1410000 ,
Walt Disney Studios Paris,2019,5245000,
Walt Disney Studios Paris,2018,5298000,
Walt Disney Studios Paris,2017,5200000,
Walt Disney Studios Paris,2016,4970000,
Walt Disney Studios Paris,2015,5050000,
Walt Disney Studios Paris,2014,4260000,
Walt Disney Studios Paris,2013,4470000,
Walt Disney Studios Paris,2012,4800000,
Walt Disney Studios Paris,2011,4710000,
Walt Disney Studios Paris,2010,4500000,
Walt Disney Studios Paris,2009,2655000 ,
Walt Disney Studios Paris,2008,2612000,
Walt Disney Studios Paris,2007,2500000,
Walt Disney Studios Paris,2006,2200000,
Disney California Adventure,2023,10000000,
Disney California Adventure,2022,9000000 ,
Disney California Adventure,2021,4977000 ,
Disney California Adventure,2020,1919000,
Disney California Adventure,2019,9861000,
Disney California Adventure,2018,9861000,
Disney California Adventure,2017,9574000 ,
Disney California Adventure,2016,9295000,
Disney California Adventure,2015,9383000,
Disney California Adventure,2014,8769000,
Disney California Adventure,2013,8514000,
Disney California Adventure,2012,7775000,
Disney California Adventure,2011,6341000 ,
Disney California Adventure,2010,6278000 ,
Disney California Adventure,2009,6050000 ,
Disney California Adventure,2008,5566000 ,
Disney California Adventure,2007,5680000,
Disney California Adventure,2006,5950000 ,
DisneyLand Park California,2023,17250000,
DisneyLand Park California,2022,16881000,
DisneyLand Park California,2021,8573000 ,
DisneyLand Park California,2020,3674000 ,
DisneyLand Park California,2019,18666000 ,
DisneyLand Park California,2018,18666000 ,
DisneyLand Park California,2017,18300000 ,
DisneyLand Park California,2016,17943000 ,
DisneyLand Park California,2015,18278000,
DisneyLand Park California,2014,16769000 ,
DisneyLand Park California,2013,16202000 ,
DisneyLand Park California,2012,15963000 ,
DisneyLand Park California,2011,16140000 ,
DisneyLand Park California,2010,15980000 ,
DisneyLand Park California,2009,15900000 ,
DisneyLand Park California,2008,14721000,
DisneyLand Park California,2007,14870000,
DisneyLand Park California,2006,14730000,