"Timestamp","I consent and am aware that my responses in this survey will be collected for data analysis","What is your age?","What is your gender","When was your last theme park visit? (MM/YYYY)","Were there any special occasions that prompted the visit? (etc Christmas, school holidays, weekends)","If you answered yes for above, which special occasion was it?","Which period of the year do you normally visit the theme park? ","Which period of the day do you normally visit the theme park? (Opening time, early afternoon, late afternoon, evening)","Which theme parks have you visited?","If you answered ""Others"", please state the theme park","How frequently do you visit theme parks?","What are your considerations when planning your theme park visits?","Which attractions or rides do you plan to visit when you go visit a theme park? Pick up to 2-3","If you stated others, please state the attraction","Which attractions or rides do you end up visiting? Pick up to 2-3","If you stated others, please state the attraction","How was the WiFi quality in the theme park?","What are some pain points you have experienced?","If you answered ""Others"", please state the pain points","What do you hope can be implemented to overcome said challenges?"
"2025/03/06 11:11:36 AM GMT+8","Consent","22","Female","02/2025","Yes","Exchange ","Jul to Sept","Opening Time","Universal Studios;Disney;LegoLand","","Once every 3 years","Type of rides available, merchandise available, weather, crowd, company","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Dark rides","","Decent","Long waiting times;Difficulty navigating the park","","Single rider queues should be available at every park"
"2025/03/06 11:26:42 AM GMT+8","Consent","21","Female","07/2024","Yes","Summer holidays","Jul to Sept","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park","","Once every 2 years","Seasons for the locals eg. their school holidays, price","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management","","better map system "
"2025/03/06 11:28:20 AM GMT+8","Consent","23","Male","12/2022","No","","Oct to Dec","Opening Time","Universal Studios;Disney","","Once every 3 years","The rides in the theme park, whether certain attractions are more special","Roller Coasters;Immersive Experiences;Drop Towers","","Roller Coasters;Immersive Experiences;Drop Towers","","Unsure","Long waiting times;Difficulty navigating the park","","Allow people to book timeslots, lower prices for express passes"
"2025/03/06 11:29:48 AM GMT+8","Consent","22","Female","12/2017","Yes","Christmas season ","Oct to Dec","Evening","Universal Studios","","1 to 2 times a year","Facilities ","Roller Coasters;Dark rides;Haunted Houses","","Roller Coasters;Bumper Cars;Haunted Houses","","Decent","Long waiting times","","Having a more structured navigation for people who are new to the theme park"
"2025/03/06 11:30:34 AM GMT+8","Consent","22","Female","12/2024","Yes","exch + xmas ","Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park;Others","lotte world!","1 to 2 times a year","price, whether or not its worth for me","Ferris Wheels;Bumper Cars;Immersive Experiences;Carousels;Eateries;Others","views and vibes","Ferris Wheels;Bumper Cars;Carousels","","No wifi available","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","idk sia i feel like they are doing their best also japan the system v zai everyone follow japan"
"2025/03/06 11:36:21 AM GMT+8","Consent","21","Female","06/2024","Yes","School holiday ","Apr to Jun","Opening Time","Universal Studios;Disney;Ocean Park","","Once every 2 years","Busyness ","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers","","Roller Coasters;Immersive Experiences","","Unsure","Long waiting times;Poor crowd management","","The waiting times "
"2025/03/06 11:38:23 AM GMT+8","Consent","22","Male","102024","No","","Oct to Dec","Early Afternoon","Universal Studios","","Once every 2 years","Crowd management ","Roller Coasters;Dark rides;Haunted Houses","","Roller Coasters;Dark rides;Haunted Houses","","Unsure","Long waiting times;Poor crowd management;Lack of real time information about waiting times;Others","Need keep bag somewhere and phone somewhere. 1hr of boredom ","I have no idea ngl"
"2025/03/06 11:44:58 AM GMT+8","Consent","19","Male","02/25","No","","Jan to Mar","Opening Time","Others","River wonders and Sg zoo","Less than once every 5 years","Cost ","Others","Animals","Others","Animal performance","Decent","Poor crowd management","","Make the viewing areas longer"
"2025/03/06 11:51:36 AM GMT+8","Consent","23","Male","07/2024","Yes","My cousin had come for the holidays ","Apr to Jun","Late Afternoon","Universal Studios;Disney;LegoLand;Others","Fuji Q Highland ","1 to 2 times a year","waiting times for rides ","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Lack of real time information about waiting times","","Maybe a more reliable system that's able to guide guests to spread out across rides to control waiting times "
"2025/03/06 11:53:15 AM GMT+8","Consent","23","Female","2024","No","","Jul to Sept","Opening Time","Universal Studios;Others","lotte world","Once every 4 years","Timing of crowds, go during less peak periods","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","Accurate timings on apps"
"2025/03/06 11:55:19 AM GMT+8","Consent","25","Male","04/2019","Yes","Holiday","Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park","","Less than once every 5 years","crowd","Roller Coasters;Ferris Wheels;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Carousels;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Eateries","","Unsure","Long waiting times;Lack of real time information about waiting times","","NIL"
"2025/03/06 12:13:48 PM GMT+8","Consent","24","Male","09/2024","No","","Jul to Sept","Opening Time","Universal Studios","","Once every 2 years","queue time/crowd/weather","Roller Coasters;Dark rides;Haunted Houses","","Roller Coasters;Dark rides;Haunted Houses","","Decent","Long waiting times;Poor crowd management","","air con theme park"
"2025/03/06 12:27:48 PM GMT+8","Consent","15","Prefer not to say","2022 December ","Yes","SCHOOL HOLIDAY","Apr to Jun;Oct to Dec","Early Afternoon","Universal Studios;LegoLand","","Once every 2 years","Time I guess","Roller Coasters;Drop Towers;Eateries","","Roller Coasters;Eateries","","Decent","Long waiting times;Lack of real time information about waiting times","","Virtual queues for every single ride 
And infinite food yummy"
"2025/03/06 12:46:28 PM GMT+8","Consent","25","Male","06/2023","Yes","School holiday","Apr to Jun","Early Afternoon","Universal Studios;Disney","","Once every 2 years","Bring water bottle","Roller Coasters;Ferris Wheels","","Roller Coasters;Bumper Cars;Dark rides","","Unsure","Long waiting times;Lack of real time information about waiting times;Poor reception","","Digital queue system"
"2025/03/06 12:52:47 PM GMT+8","Consent","25","Male","12/2019","Yes","Holiday ","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","Less than once every 5 years","Cost, time wasted queuing ","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses","","Roller Coasters;Immersive Experiences;Dark rides","","Decent","Long waiting times;Lack of real time information about waiting times","","Reduce the number of ðŸ¤¡ in the theme park so we donâ€™t have idiots wasting time when we go there "
"2025/03/06 12:53:05 PM GMT+8","Consent","22","Female","01/2024","No","","Oct to Dec","Opening Time","Universal Studios;LegoLand","","Less than once every 5 years","","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Drop Towers","","Decent","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","NA"
"2025/03/06 12:54:37 PM GMT+8","Consent","21","Female","10/2024","No","","Jul to Sept;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Others","Efteling","Once every 3 years","quality and thrill of rides, character themeing","Roller Coasters;Immersive Experiences;Dark rides;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides;Eateries","","Unsure","Long waiting times;Lack of real time information about waiting times","","real time updates"
"2025/03/06 1:01:42 PM GMT+8","Consent","22","Female","06/2023","Yes","Birthday","Oct to Dec","Opening Time","Universal Studios;Ocean Park","","Less than once every 5 years","Crowd","Roller Coasters;Ferris Wheels;Bumper Cars","","Roller Coasters;Ferris Wheels;Bumper Cars","","Decent","Long waiting times","","Queue status app"
"2025/03/06 1:01:47 PM GMT+8","Consent","23","Female","12/2023","No","","Oct to Dec","Late Afternoon","Universal Studios;Disney;LegoLand","","1 to 2 times a year","","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers","","Roller Coasters;Immersive Experiences;Drop Towers","","No wifi available","Long waiting times;Poor crowd management","","not really sure, long wait times are inevitable :("
"2025/03/06 1:10:09 PM GMT+8","Consent","24","Male","05/2024","No","","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney","","Once every 2 years","","Roller Coasters;Immersive Experiences","","Roller Coasters;Immersive Experiences","","Decent","Long waiting times","","I think itâ€™s quite an unavoidable problem"
"2025/03/06 1:16:04 PM GMT+8","Consent","23","Male","10/2022","Yes","Halloween Horror Night","Oct to Dec","Late Afternoon","Universal Studios","","Once every 2 years","Friends, money, time","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Dark rides","","No wifi available","Long waiting times;Lack of real time information about waiting times","","Idk if it exists but an app for real time wait time would be great. Maybe can also use ML to predict how long do I have to wait if I come back 1 hour later etc"
"2025/03/06 1:30:17 PM GMT+8","Consent","22","Female","08/2024","Yes","school holiday / overseas trip","Jul to Sept","Opening Time","Universal Studios;Ocean Park","","Once every 2 years","opening time and food options","Roller Coasters;Immersive Experiences;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","Decent","Long waiting times;Poor crowd management;Lack of real time information about waiting times;Poor reception","","better estimation of waiting time or make the waiting experience more enjoyable (cant just be queues in areas with no decorations or things to look at)"
"2025/03/06 1:30:46 PM GMT+8","Consent","22","Female","01/2025","No","","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","1 to 2 times a year","Crowds, variety of rides","Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride)","","Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Lack of real time information about waiting times","","App to show real-time waiting time for each ride"
"2025/03/06 1:34:45 PM GMT+8","Consent","22","Female","12/2024","Yes","School holidays","Oct to Dec","Opening Time","Universal Studios;LegoLand;Others","Genting Highlands Skyworld","1 to 2 times a year","Peak/non peak period and weather","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride);Others","Low/mid/high element course","Roller Coasters;Immersive Experiences;Drop Towers","","Weak","Long waiting times;Poor reception","","I think waiting time cannot be avoided especially during peak periods, but wifi can definitely be improved "
"2025/03/06 1:35:41 PM GMT+8","Consent","28","Male","032025","Yes","Weekends","Oct to Dec","Opening Time","Universal Studios;Disney","","1 to 2 times a year","If there are any interesting events or rides","Roller Coasters;Immersive Experiences","","Roller Coasters;Immersive Experiences","","Unsure","Long waiting times;Poor crowd management","","Better queue management "
"2025/03/06 1:40:21 PM GMT+8","Consent","21","Female","01/2025","Yes","Vacation!","Jan to Mar;Oct to Dec","Opening Time","Universal Studios;LegoLand;Others","Lotte world!","Once every 3 years","Price, number of people, and timings and crowd","Roller Coasters;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Lack of real time information about waiting times","","I hope, just better waiting time information so we can make alternative plans based on the info"
"2025/03/06 1:49:25 PM GMT+8","Consent","21","Female","07/2023","No","","Apr to Jun","Evening","Universal Studios;Disney;LegoLand;Ocean Park;Others","thorpe park","Once every 2 years","thrilling rides","Roller Coasters;Dark rides;Drop Towers","","Roller Coasters;Drop Towers;Eateries","","No wifi available","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times;Poor reception","","better wait times/ queue no. system"
"2025/03/06 1:51:08 PM GMT+8","Consent","24","Male","02/2022","Yes","First date and i treat my women right","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","Once every 4 years","How how hot the girl im going with is","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses","","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses","","Decent","Long waiting times;Lack of real time information about waiting times","","Cap on number of people in the park"
"2025/03/06 1:58:09 PM GMT+8","Consent","26","Female","Donâ€™t rmb","No","","Jul to Sept;Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","1 to 2 times a year","Closure dates, show times, etc ","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times","","Nil"
"2025/03/06 2:17:29 PM GMT+8","Consent","27","Male","06/2021","Yes","cousin visit from overseas","Oct to Dec","Early Afternoon","Universal Studios","","Once every 2 years","crowd timings, weather ","Roller Coasters;Bumper Cars;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Bumper Cars;Haunted Houses;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","make theme parks more expensive "
"2025/03/06 2:23:53 PM GMT+8","Consent","22","Female","11/2023","Yes","Halloween ","Jul to Sept;Oct to Dec","Early Afternoon","Universal Studios","","Once every 2 years","If there are any events","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses","","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses","","Decent","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","I think an app displaying queue time is already in place but can be improved "
"2025/03/06 2:28:29 PM GMT+8","Consent","25","Male","Cant remember ","No","","Oct to Dec","Early Afternoon","Universal Studios","","Once every 2 years","Price of tickets, weather, crowd, new rides, promotion","Roller Coasters;Immersive Experiences;Haunted Houses;Drop Towers","","Roller Coasters;Bumper Cars;Immersive Experiences;Haunted Houses;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","Shorter queues and better crowd control "
"2025/03/06 2:29:15 PM GMT+8","Consent","26","Male","10/2023","Yes","Halloween Horror Night","Oct to Dec","Early Afternoon","Universal Studios;Disney;LegoLand;Ocean Park","","Once every 2 years","Event, ticket price (for express and normal), transport home, mood, weather, attractions, literally whatever you can think of cause I donâ€™t enjoy it that much ","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers","","Roller Coasters;Immersive Experiences;Dark rides","","No wifi available","Long waiting times;Poor crowd management;Poor reception","","I wish more theme parks can incorporate something that Genting tried to implement about booking an attraction time slot on your phone so you donâ€™t have the physically stand in the queue for hours (they kinda did it but most rides didnâ€™t have that function + poor software)"
"2025/03/06 2:34:37 PM GMT+8","Consent","24","Female","04/2023","No","","Oct to Dec","Opening Time","Universal Studios","","Once every 3 years","WEATHER! CROWD!","Roller Coasters;Bumper Cars;Haunted Houses","","Roller Coasters;Immersive Experiences;Carousels","","Decent","Long waiting times;Lack of real time information about waiting times","","maybe have an website to see real time updates of rides instead of having to look for the timing board "
"2025/03/06 3:04:22 PM GMT+8","Consent","25","Male","07/2023","Yes","Trip to japan","Jul to Sept","Early Afternoon","Universal Studios","","Once every 3 years","food","Immersive Experiences;Haunted Houses;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","Decent","Long waiting times","","open more rides"
"2025/03/06 3:11:54 PM GMT+8","Consent","21","Female","12/2024","Yes","Christmas ","Oct to Dec","Evening","Universal Studios;Disney;Ocean Park;Others","Canada wonderland ","Once every 3 years","Canada wonderland ","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Difficulty navigating the park;Poor crowd management","","clearer signs at potentially confusing locations"
"2025/03/06 3:18:19 PM GMT+8","Consent","23","Female","08/2024","Yes","japan trip ","Oct to Dec","Opening Time","Universal Studios","movieworld, seaworld, sunway lagoon","Once every 3 years","crowds, waiting times in queue, number of amenities, weather conditions","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Difficulty navigating the park","","more rides opened during peak hours, more crowd control strategies, ticketing system for queues (like bubble tea shops)"
"2025/03/06 3:45:58 PM GMT+8","Consent","23","Female","05/24","No","","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","1 to 2 times a year","Crowds and weather","Roller Coasters;Ferris Wheels;Bumper Cars;Immersive Experiences;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Weak","Long waiting times;Poor crowd management;Poor reception","","Possible routes to take in the theme park for better crowd management"
"2025/03/06 3:55:14 PM GMT+8","Consent","22","Female","10/2024","Yes","Halloween ","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;LegoLand","","Once every 3 years","The excitement/adventurous levels of the rides and the price of the admission tickets.","Roller Coasters;Ferris Wheels;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Lack of real time information about waiting times","","Increase participants!"
"2025/03/06 4:52:39 PM GMT+8","Consent","33","Female","12/2019","Yes","","Oct to Dec","Early Afternoon","LegoLand","","Less than once every 5 years","Weather","Ferris Wheels;Bumper Cars;Pendulum rides (eg. Viking ride);Eateries","","Ferris Wheels;Bumper Cars;Immersive Experiences;Carousels;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Application that indicate all, best will be involved all themeparks  around the world."
"2025/03/06 4:54:40 PM GMT+8","Consent","22","Female","05/2024","Yes","Overseas trip during school holidays","Oct to Dec","Early Afternoon","Universal Studios;Disney","","Less than once every 5 years","Whether the rides are popular and whether the waiting times for the rides will be long","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Eateries","","Decent","Long waiting times;Poor reception","","More seating areas while waiting, or long walkways so it gives the perception that the queue is moving (i.e. passengers are constantly moving instead of standing stationary at one spot)"
"2025/03/06 5:21:10 PM GMT+8","Consent","22","Male","10/2024","Yes","halloween","Oct to Dec","Evening","Universal Studios;Disney","","Once every 2 years","","Roller Coasters;Immersive Experiences;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Increased ride frequency "
