"Timestamp","I consent and am aware that my responses in this survey will be collected for data analysis","What is your age?","What is your gender","When was your last theme park visit? (MM/YYYY)","Were there any special occasions that prompted the visit? (etc Christmas, school holidays, weekends)","If you answered yes for above, which special occasion was it?","Which period of the year do you normally visit the theme park? ","Which period of the day do you normally visit the theme park? (Opening time, early afternoon, late afternoon, evening)","Which theme parks have you visited?","If you answered ""Others"", please state the theme park","How frequently do you visit theme parks?","What are your considerations when planning your theme park visits?","Which attractions or rides do you plan to visit when you go visit a theme park? Pick up to 2-3","If you stated others, please state the attraction","Which attractions or rides do you end up visiting? Pick up to 2-3","If you stated others, please state the attraction","How was the WiFi quality in the theme park?","What are some pain points you have experienced?","If you answered ""Others"", please state the pain points","What do you hope can be implemented to overcome said challenges?"
"2025/03/11 10:25:17 PM GMT+8","Consent","22","Male","01/2025","Yes","Term break ","Oct to Dec","Early Afternoon","Universal Studios;LegoLand;Others","Korea theme park, called Neverland I think","1 to 2 times a year","Thrilling rides and price ","Roller Coasters;Immersive Experiences;Haunted Houses","","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Decent","Long waiting times;Lack of real time information about waiting times","","App that states the exact waiting time and number of ppl q ing "
"2025/03/11 10:27:24 PM GMT+8","Consent","27","Female","09/2024","No","","Oct to Dec","Opening Time","Others","Everland, Nagoya spa land","Once every 2 years","Thrill rides","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Dark rides;Eateries","","Strong","Long waiting times;Difficulty navigating the park","","More eateries"
"2025/03/11 10:29:53 PM GMT+8","Consent","23","Female","11/2024","No","","Jul to Sept;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","1 to 2 times a year","weather, extreme roller coaster","Roller Coasters;Immersive Experiences;Drop Towers","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Lack of real time information about waiting times","","apps to show the wait time for each place!
"
"2025/03/11 10:34:25 PM GMT+8","Consent","22","Female","12/2023","Yes","overseas vacation","Oct to Dec","Opening Time","Universal Studios;Disney;Others","Ba Na Hills SunWorld","Once every 2 years","weather, time, special occasions (will be more crowded)","Roller Coasters;Immersive Experiences;Carousels","","Roller Coasters;Immersive Experiences;Carousels","","Decent","Long waiting times;Difficulty navigating the park","","better signages, more comfortable waiting experience (if not seats maybe railings we can sit on + shelter)"
"2025/03/11 10:57:24 PM GMT+8","Consent","24","Male","12/2013","No","","Apr to Jun;Oct to Dec","Early Afternoon","Others","Everland","Less than once every 5 years","Price and what attractions are most worth to try","Roller Coasters;Drop Towers","","Roller Coasters","","Unsure","Long waiting times;Lack of real time information about waiting times","","Have labels at different points of the queue to show estimated waiting time "
"2025/03/11 11:26:34 PM GMT+8","Consent","27","Male","04/2019","No","","Apr to Jun","Opening Time","Universal Studios;Disney;Six Flags","","Less than once every 5 years","It has to actually be fun","Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Haunted Houses","","Decent","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times","","Management"
"2025/03/11 11:46:29 PM GMT+8","Consent","22","Female","10/2022","Yes","Halloween Horror Night","Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","Once every 4 years","price, rides available, weather, type of people iâ€™m with","Roller Coasters;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Poor crowd management","","online queueing system? manage crowd levels by limiting number of visitors "
"2025/03/12 1:16:53 AM GMT+8","Consent","22","Female","12/2024","Yes","Travel/Holiday","Oct to Dec","Late Afternoon","Universal Studios;Disney;LegoLand;Ocean Park","","1 to 2 times a year","New visit, special/seasonal events, price, convenience.","Roller Coasters;Immersive Experiences;Dark rides;Carousels;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Immersive Experiences;Dark rides;Carousels;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","No wifi available","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","App to queue ahead for rides and order from eateries."
"2025/03/12 1:58:20 AM GMT+8","Consent","23","Male","maybe 2018...?","Yes","school holidays overseas","Apr to Jun","Early Afternoon","Universal Studios;Disney;LegoLand","","Less than once every 5 years","how scary the rides are, prices of stuff","Immersive Experiences;Dark rides;Eateries","","Roller Coasters;Haunted Houses;Drop Towers","","Unsure","Long waiting times;Lack of real time information about waiting times","","give real information, real time info"
"2025/03/12 2:39:30 AM GMT+8","Consent","22","Male","06/2023","Yes","Graduation trip for friends","Apr to Jun","Opening Time","Universal Studios;Disney;LegoLand;Six Flags","","Once every 2 years","","Roller Coasters;Immersive Experiences;Eateries","","Roller Coasters;Immersive Experiences;Eateries","","Decent","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","Better regulation of the amount of people in the park"
"2025/03/12 2:55:43 AM GMT+8","Consent","22","Female","07/2021","No","","Jul to Sept","Early Afternoon","Six Flags;Others","Valleyfair","1 to 2 times a year","","Roller Coasters;Ferris Wheels;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Carousels;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Bumper Cars;Dark rides;Haunted Houses;Carousels;Drop Towers;Pendulum rides (eg. Viking ride)","","Weak","Difficulty navigating the park;Poor crowd management","","More walkable paths "
"2025/03/12 6:21:15 AM GMT+8","Consent","15","Male","06/2023","Yes","School holidays ","Apr to Jun","Early Afternoon","Universal Studios;LegoLand","","Less than once every 5 years","I plan my theme park visits by checking crowd levels, weather.","Roller Coasters;Haunted Houses;Drop Towers","","Ferris Wheels;Haunted Houses;Drop Towers","","Decent","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","Long waits can be reduced with fast passes and off-peak entry, navigation can be improved with maps and apps, and real-time wait times can be provided through official sources.

"
"2025/03/12 8:15:39 AM GMT+8","Consent","47","Female","062023","No","","Oct to Dec","Evening","Universal Studios;Disney;LegoLand;Others","Joypolis","Less than once every 5 years","Attractions ","Ferris Wheels;Bumper Cars","","Ferris Wheels;Bumper Cars","","Unsure","Long waiting times","","Shorter queuing time. Crowd control. "
"2025/03/12 8:39:47 AM GMT+8","Consent","23","Female","10/2024","Yes","halloween","Oct to Dec","Evening","Universal Studios","","1 to 2 times a year","how many things i have to carry - the lesser the better","Roller Coasters;Immersive Experiences;Haunted Houses","","Roller Coasters;Immersive Experiences;Haunted Houses;Others","merchandise shop","Unsure","Long waiting times;Poor reception","","shorter waiting times (more carriages on the ride), better reception (mostly wifi, so maybe provide free wifi)"
"2025/03/12 12:09:58 PM GMT+8","Consent","22","Female","12/2024","Yes","Travel","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park;Others","Lotte World","Less than once every 5 years","Cost, Distance, Rides","Roller Coasters;Ferris Wheels;Immersive Experiences","","Roller Coasters;Carousels;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Lack of real time information about waiting times","","Waiting time is often dealt with by express pass. However waiting times could be reflected on the theme park website etc. (avoid having to download a separate application)"
"2025/03/12 2:17:06 PM GMT+8","Consent","24","Male","12/2023","Yes","School holidays","Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","Less than once every 5 years","If express passes are available","Eateries;Others","I just go for which ever ride has no queue or I have express pass on","Others","same as previous answer","Unsure","Long waiting times;Poor crowd management","","Privatise these corporations."
"2025/03/12 4:17:02 PM GMT+8","Consent","23","Female","12/2023","Yes","exchange","Oct to Dec","Opening Time","Universal Studios;Disney;Six Flags","","Once every 5 years","whether it will be overly crowded","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Difficulty navigating the park;Poor crowd management","","better real time apps and maps to navigate the theme parks"
"2025/03/12 6:56:42 PM GMT+8","Consent","24","Female","Donâ€™t remember ","Yes","I was overseas.","Oct to Dec","Early Afternoon","Universal Studios;Disney","","Less than once every 5 years","If my friends are going.","Roller Coasters;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Immersive Experiences;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times","","Have a longer ride so that the waiting time feels more worth it. "
"2025/03/12 6:57:24 PM GMT+8","Consent","23","Male","12/2024","Yes","Holidays","Oct to Dec","Opening Time","Universal Studios;Others","Everland","Once every 2 years","Whether have I been to it before, and its reputations","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Ferris Wheels;Immersive Experiences","","Decent","Long waiting times;Difficulty navigating the park;Poor crowd management;Lack of real time information about waiting times;Poor reception","","Better system to show crowd information"
"2025/03/12 7:02:24 PM GMT+8","Consent","22","Male","09/2020","Yes","School holiday","Jul to Sept","Early Afternoon","Universal Studios;Disney","","Once every 3 years","","Roller Coasters;Immersive Experiences;Haunted Houses","","Roller Coasters;Immersive Experiences;Haunted Houses","","Decent","Long waiting times","","Divert traffic of attractions by having other attractions that are on par in terms of experience/quality"
"2025/03/12 7:11:08 PM GMT+8","Consent","21","Female","12/2024","No","","Apr to Jun;Oct to Dec","Opening Time","Others","Everland in Korea","Less than once every 5 years","Weather, Crowd","Bumper Cars;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Bumper Cars;Immersive Experiences;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Lack of real time information about waiting times","","Better estimation of waiting times, online queues"
"2025/03/12 7:15:47 PM GMT+8","Consent","21","Female","07/2023","No","","Apr to Jun;Jul to Sept;Oct to Dec","Early Afternoon","Universal Studios;Disney;LegoLand","","Once every 2 years","Coordinating timing with friends or family. Also considering whether it is the peak period (eg. Weekend)","Roller Coasters;Immersive Experiences;Drop Towers","","Roller Coasters;Pendulum rides (eg. Viking ride);Eateries","","Decent","Long waiting times;Poor crowd management","","App to reserve slot to save time"
"2025/03/12 7:21:34 PM GMT+8","Consent","23","Male","02/2021","No","","Apr to Jun","Opening Time","Universal Studios","","Less than once every 5 years","","Immersive Experiences;Eateries","","Immersive Experiences;Eateries","","Unsure","Difficulty navigating the park;Lack of real time information about waiting times","","Have an electronic queue system such that u would know how long one has to wait for a specific attraction "
"2025/03/12 7:32:58 PM GMT+8","Consent","23","Female","12/2024","Yes","Winter exchange ","Oct to Dec","Evening","Universal Studios;Others","Lotte world","Once every 5 years","Friends and available, got holiday vibes, not broke","Roller Coasters;Bumper Cars;Haunted Houses;Drop Towers","","Roller Coasters;Drop Towers","","Unsure","Long waiting times;Others","Super super long waiting times","Queue system then can do other stuff and come back later"
"2025/03/12 10:37:10 PM GMT+8","Consent","25","Male","01/2025","No","","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Ocean Park","","1 to 2 times a year","Attractions and rides","Roller Coasters;Immersive Experiences;Haunted Houses","","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times","","Visitor capacity "
"2025/03/13 12:09:52 AM GMT+8","Consent","21","Female","05/2024","Yes","school holiday","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney","","1 to 2 times a year","to plan to play everything i want to play","Roller Coasters;Immersive Experiences","","Roller Coasters;Immersive Experiences","","Weak","Long waiting times","","maybe limit the number of people in the theme park?"
"2025/03/13 1:00:13 AM GMT+8","Consent","21","Female","12/2022","Yes","Holidays","Oct to Dec","Late Afternoon","Universal Studios;Disney;LegoLand","","Once every 5 years","Wait time, Attractions","Immersive Experiences;Carousels","","Ferris Wheels;Immersive Experiences;Dark rides;Carousels;Eateries","","No wifi available","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","Shorter waiting time, or a more efficient way to manage queue lines for rides and eateries through a number system rather than just waiting there"
"2025/03/13 12:36:38 PM GMT+8","Consent","19","Female","10/2024","Yes","Halloween","Oct to Dec","Evening","Universal Studios;Disney;Six Flags;Ocean Park;Others","Everland","1 to 2 times a year","Am i overseas? Are there any special events? Is this going to be a once in a lifetime opportunity ","Roller Coasters;Haunted Houses;Drop Towers","","Roller Coasters;Haunted Houses;Drop Towers","","Weak","Long waiting times;Lack of real time information about waiting times;Poor reception","","Better cell reception? Maybe more cell towers kn the area idk what helps with that"
"2025/03/13 12:36:51 PM GMT+8","Consent","22","Male","01/2025","Yes","Oversea Vacation ","Jan to Mar;Oct to Dec","Opening Time","Universal Studios;Disney","","Once every 2 years","If my friends wants to go","Roller Coasters;Dark rides","","Roller Coasters;Dark rides","","Weak","Long waiting times;Poor crowd management;Lack of real time information about waiting times;Poor reception","","More interactive activities while queueing up to make queueing less boring"
"2025/03/13 12:39:38 PM GMT+8","Consent","20","Female","12/2024","Yes","School holiday and vacation ","Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","1 to 2 times a year","credibility and crowd ","Roller Coasters;Bumper Cars;Pendulum rides (eg. Viking ride)","","Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Others","sometimes lack of seating or rest areas esp when itâ€™s crowded ","more benches, chill areas"
"2025/03/13 12:40:55 PM GMT+8","Consent","21","Male","01/2025","Yes","School holiday (recess week)","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","1 to 2 times a year","Must have thrilling rollercoasters, photogenic view","Roller Coasters;Haunted Houses;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Strong","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","An online queue system where you can go at your specified time slot and not need to wait. "
"2025/03/13 12:48:45 PM GMT+8","Consent","24","Male","12/2024","Yes","Birthday","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;Ocean Park","","Once every 2 years","Price, location, rides","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers","","Roller Coasters;Immersive Experiences;Dark rides","","Decent","Long waiting times","","NIL"
"2025/03/13 12:51:38 PM GMT+8","Consent","22","Male","10/2022","Yes","On Leave from Work","Oct to Dec","Opening Time","Universal Studios;Disney","","Less than once every 5 years","Cost and interest in the theme","Bumper Cars;Immersive Experiences;Dark rides;Eateries","","Immersive Experiences;Dark rides","","Unsure","Long waiting times;Poor crowd management;Lack of real time information about waiting times","","User interfaces that give an indication of crowd sizes"
"2025/03/13 12:52:47 PM GMT+8","Consent","21","Female","07/2024","No"," ","Oct to Dec","Opening Time","Universal Studios;Disney;Others","sunway lagoon ","1 to 2 times a year","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Poor crowd management","","no idea "
"2025/03/13 1:00:41 PM GMT+8","Consent","21","Female","06/2023","No","","Apr to Jun;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand;Others","Lotte world, Everland","Once every 3 years","Location, Weather, Attractions ","Immersive Experiences;Dark rides;Eateries","","Roller Coasters;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times;Poor reception","","Better internet connection"
"2025/03/13 1:10:50 PM GMT+8","Consent","22","Female","10/2024","Yes","halloween","Jan to Mar;Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","3 to 4 times a year","fun rides","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times","","dont oversell tickets"
"2025/03/13 1:12:46 PM GMT+8","Consent","22","Male","11/2024","Yes","halloween","Oct to Dec","Opening Time","Universal Studios;Disney","","1 to 2 times a year","people, price","Roller Coasters;Dark rides;Pendulum rides (eg. Viking ride)","","Roller Coasters;Pendulum rides (eg. Viking ride)","","Unsure","Long waiting times;Poor crowd management","","idw to wait
"
"2025/03/13 1:24:50 PM GMT+8","Consent","23","Male","01/2025","Yes","Weekend","Jul to Sept","Opening Time","Universal Studios;Disney;LegoLand;Ocean Park","","1 to 2 times a year","Price","Bumper Cars;Immersive Experiences;Eateries","","Ferris Wheels;Bumper Cars;Immersive Experiences;Eateries","","Decent","Poor crowd management","","NA"
"2025/03/13 1:33:56 PM GMT+8","Consent","22","Female","12/2023","Yes","Hyde Park winter wonderland","Oct to Dec","Opening Time","Universal Studios;Disney;LegoLand","","Once every 3 years","attractions other than roller coasters because im scared of heights
price","Ferris Wheels;Bumper Cars;Immersive Experiences;Others","riders with water","Ferris Wheels;Bumper Cars;Others","rides with water","No wifi available","Long waiting times","","feels like waiting time is inevitable"
"2025/03/13 1:34:11 PM GMT+8","Consent","21","Female","11/2023","Yes","Halloween","Oct to Dec","Early Afternoon","Universal Studios;Disney;LegoLand;Ocean Park","","1 to 2 times a year","Rides and the worlds","Roller Coasters;Immersive Experiences;Dark rides;Haunted Houses;Carousels;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Roller Coasters;Haunted Houses;Pendulum rides (eg. Viking ride);Eateries","","Unsure","Long waiting times;Difficulty navigating the park","","Interactive maps"
"2025/03/13 1:35:14 PM GMT+8","Consent","20","Female","12/2024","Yes","school holidays","Oct to Dec","Opening Time","Universal Studios;Disney","","1 to 2 times a year","","Roller Coasters;Immersive Experiences;Dark rides","","Roller Coasters;Immersive Experiences;Dark rides;Eateries","","Decent","Long waiting times;Lack of real time information about waiting times","","Limit number of people in"
"2025/03/13 2:48:23 PM GMT+8","Consent","22","Female","10/2023","Yes","Halloween Horror Night","Apr to Jun","Early Afternoon","Universal Studios;Disney","","Once every 3 years","Crowd, the rides and shows they have to offer","Roller Coasters;Immersive Experiences;Haunted Houses","","Roller Coasters;Immersive Experiences;Haunted Houses","","Decent","Long waiting times;Lack of real time information about waiting times","","Maybe have an online website to check accurate waiting times for each ride (can include how many people are in the queue)? though this might add on to the workload for the theme park staff so not sure how feasible this is"
"2025/03/13 2:51:37 PM GMT+8","Consent","24","Male","11/2024","Yes","Holidays","Oct to Dec","Opening Time","Universal Studios;Disney","","Once every 2 years","Cost, queues","Roller Coasters;Dark rides;Drop Towers","","Roller Coasters;Immersive Experiences;Dark rides","","Unsure","Long waiting times;Poor crowd management","","Less peopl"
"2025/03/13 3:00:15 PM GMT+8","Consent","21","Female","03/2025","No","","Apr to Jun","Early Afternoon","Universal Studios;Disney;LegoLand;Ocean Park","","1 to 2 times a year","weather, people, schedule","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Drop Towers;Pendulum rides (eg. Viking ride)","","Decent","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","","maybe a big screen that shows all the waiting times at big and important areas"
"2025/03/13 3:01:52 PM GMT+8","Consent","24","Male","04/2022","No","","Oct to Dec","Opening Time","Universal Studios;Others","Movie land, sea world ","Once every 3 years","Price, availability of those going","Roller Coasters;Bumper Cars;Immersive Experiences;Dark rides;Haunted Houses;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides","","Decent","Long waiting times;Others","Expensive eateries","Cheaper budget options for food and drinks"
"2025/03/13 3:06:42 PM GMT+8","Consent","23","Male","09/2024","Yes","Alan was there","Oct to Dec","Opening Time","Universal Studios;Disney;Others","Canada Wonderland","Once every 5 years","Rollercoasters must be fun","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride)","","Roller Coasters;Immersive Experiences;Dark rides;Drop Towers;Pendulum rides (eg. Viking ride);Eateries","","Decent","Long waiting times;Difficulty navigating the park;Lack of real time information about waiting times","Getting dizzy early","Theme parks should create apps with all you need to know features such as wait times and directions"